pdf_name	page_num	n_annotators	document_type	document_type_agreement	layout_type	layout_type_agreement	functional_category	functional_category_agreement	start_page	start_page_agreement	pdf_id	img_path	text_path	markdown_path	pagexml_path	split
a2478-d0000707-1214053	11	1	Other (Structured Form, Medical & Health Documents)	single	Structured Form	single	Medical & Health Documents	single	no	single	a2478-d0000707-1214053	data/image-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0011.png	data/text-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0011.txt	data/markdown-per-page/a2478-d0000707-1214053/a2478-d0000707-1214053_page_0011.markdown.md	data/pagexml-per-page/a2478-d0000707-1214053/page/page_0011.xml	train
a2478-d0000731-1217151	1	1	NAA cover	single	Cover	single	Other	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0001.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0001.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0001.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0001.xml	val
a2478-d0000731-1217151	2	1	D.1	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0002.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0002.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0002.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0002.xml	val
a2478-d0000731-1217151	3	1	D.1	single	Structured Form	single	Application Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0003.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0003.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0003.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0003.xml	val
a2478-d0000731-1217151	4	1	Other (Structured Form, Medical & Health Documents)	single	Structured Form	single	Medical & Health Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0004.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0004.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0004.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0004.xml	val
a2478-d0000731-1217151	5	1	Other (Structured Form, Medical & Health Documents)	single	Structured Form	single	Medical & Health Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0005.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0005.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0005.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0005.xml	val
a2478-d0000731-1217151	6	1	Report of selection and medical officers	single	Structured Form	single	Decision Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0006.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0006.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0006.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0006.xml	val
a2478-d0000731-1217151	7	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0007.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0007.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0007.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0007.xml	val
a2478-d0000731-1217151	8	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0008.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0008.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0008.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0008.xml	val
a2478-d0000731-1217151	9	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0009.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0009.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0009.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0009.xml	val
a2478-d0000731-1217151	10	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0010.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0010.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0010.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0010.xml	val
a2478-d0000731-1217151	11	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0011.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0011.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0011.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0011.xml	val
a2478-d0000731-1217151	12	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0012.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0012.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0012.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0012.xml	val
a2478-d0000731-1217151	13	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0013.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0013.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0013.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0013.xml	val
a2478-d0000731-1217151	14	1	Testimonial labour (Qualification & Employment Proof)	single	Structured Form	single	Qualification & Employment Proof	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0014.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0014.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0014.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0014.xml	val
a2478-d0000731-1217151	15	1	Testimonial status (Application Documents)	single	Letter	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0015.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0015.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0015.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0015.xml	val
a2478-d0000731-1217151	16	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0016.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0016.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0016.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0016.xml	val
a2478-d0000731-1217151	17	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0017.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0017.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0017.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0017.xml	val
a2478-d0000731-1217151	18	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0018.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0018.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0018.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0018.xml	val
a2478-d0000731-1217151	19	1	Other (Structured Form, Application Documents)	single	Structured Form	single	Application Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0019.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0019.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0019.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0019.xml	val
a2478-d0000731-1217151	20	1	Other (Structured Form, Administrative & Internal Processing Documents)	single	Structured Form	single	Administrative & Internal Processing Documents	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0020.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0020.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0020.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0020.xml	val
a2478-d0000731-1217151	21	1	Other (Structured Form, Administrative & Internal Processing Documents)	single	Structured Form	single	Administrative & Internal Processing Documents	single	no	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0021.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0021.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0021.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0021.xml	val
a2478-d0000731-1217151	22	1	Other (Structured Form, Other)	single	Structured Form	single	Other	single	yes	single	a2478-d0000731-1217151	data/image-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0022.png	data/text-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0022.txt	data/markdown-per-page/a2478-d0000731-1217151/a2478-d0000731-1217151_page_0022.markdown.md	data/pagexml-per-page/a2478-d0000731-1217151/page/page_0022.xml	val
a2478-d0002394-1444664	1	1	NAA cover	single	Cover	single	Other	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0001.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0001.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0001.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0001.xml	test
a2478-d0002394-1444664	2	1	Photo	single	Photo	single	Other	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0002.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0002.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0002.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0002.xml	test
a2478-d0002394-1444664	3	1	Photo	single	Photo	single	Other	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0003.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0003.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0003.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0003.xml	test
a2478-d0002394-1444664	4	1	D.1	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0004.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0004.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0004.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0004.xml	test
a2478-d0002394-1444664	5	1	D.1	single	Structured Form	single	Application Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0005.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0005.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0005.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0005.xml	test
a2478-d0002394-1444664	6	1	D.1	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0006.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0006.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0006.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0006.xml	test
a2478-d0002394-1444664	7	1	D.1	single	Structured Form	single	Application Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0007.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0007.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0007.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0007.xml	test
a2478-d0002394-1444664	8	1	Registration card	single	Card (Index Card)	single	Administrative & Internal Processing Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0008.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0008.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0008.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0008.xml	test
a2478-d0002394-1444664	9	1	Registration card	single	Card (Index Card)	single	Administrative & Internal Processing Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0009.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0009.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0009.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0009.xml	test
a2478-d0002394-1444664	10	1	Judicial and political background check	single	Structured Form	single	Security & Political Screening Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0010.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0010.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0010.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0010.xml	test
a2478-d0002394-1444664	11	1	Judicial and political background check	single	Structured Form	single	Security & Political Screening Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0011.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0011.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0011.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0011.xml	test
a2478-d0002394-1444664	12	1	D.2	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0012.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0012.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0012.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0012.xml	test
a2478-d0002394-1444664	13	1	D.2	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0013.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0013.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0013.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0013.xml	test
a2478-d0002394-1444664	14	1	Report of selection and medical officers	single	Structured Form	single	Decision Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0014.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0014.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0014.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0014.xml	test
a2478-d0002394-1444664	15	1	Report of selection and medical officers	single	Structured Form	single	Decision Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0015.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0015.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0015.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0015.xml	test
a2478-d0002394-1444664	16	1	Report of selection and medical officers	single	Structured Form	single	Decision Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0016.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0016.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0016.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0016.xml	test
a2478-d0002394-1444664	17	1	Report of selection and medical officers	single	Structured Form	single	Decision Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0017.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0017.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0017.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0017.xml	test
a2478-d0002394-1444664	18	1	DM.1	single	Structured Form	single	Medical & Health Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0018.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0018.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0018.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0018.xml	test
a2478-d0002394-1444664	19	1	DM.1	single	Structured Form	single	Medical & Health Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0019.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0019.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0019.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0019.xml	test
a2478-d0002394-1444664	20	1	DM.1	single	Structured Form	single	Medical & Health Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0020.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0020.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0020.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0020.xml	test
a2478-d0002394-1444664	21	1	DM.1	single	Structured Form	single	Medical & Health Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0021.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0021.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0021.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0021.xml	test
a2478-d0002394-1444664	22	1	NAMA agreement	single	Structured Form	single	Application Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0022.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0022.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0022.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0022.xml	test
a2478-d0002394-1444664	23	1	NAMA agreement	single	Structured Form	single	Application Documents	single	no	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0023.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0023.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0023.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0023.xml	test
a2478-d0002394-1444664	24	1	Testimonial labour (Qualification & Employment Proof)	single	Letter	single	Qualification & Employment Proof	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0024.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0024.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0024.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0024.xml	test
a2478-d0002394-1444664	25	1	Testimonial medical letter (Medical & Health Documents)	single	Letter	single	Medical & Health Documents	single	yes	single	a2478-d0002394-1444664	data/image-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0025.png	data/text-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0025.txt	data/markdown-per-page/a2478-d0002394-1444664/a2478-d0002394-1444664_page_0025.markdown.md	data/pagexml-per-page/a2478-d0002394-1444664/page/page_0025.xml	test
a2478-d0001942-1429968	1	1	NAA cover	single	Cover	single	Other	single	yes	single	a2478-d0001942-1429968	data/image-per-page/a2478-d0001942-1429968/a2478-d0001942-1429968_page_0001.png	data/text-per-page/a2478-d0001942-1429968/a2478-d0001942-1429968_page_0001.txt	data/markdown-per-page/a2478-d0001942-1429968/a2478-d0001942-1429968_page_0001.markdown.md	data/pagexml-per-page/a2478-d0001942-1429968/page/page_0001.xml	train
